Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2019-06-30,62747,USD,2019,Q2,2019-07-26,2019-07-26,9860000000.0,10060000000.0,41463000000.0,,18580000000.0,76790000000.0,64723000000.0,,49838000000.0,114561000000.0,191351000000,62203000000.0,,69678000000.0,23329000000.0,68612000000.0,138290000000.0,30040000000.0,-1837000000.0,25818000000.0,53061000000.0,191351000000
2019-09-30,62747,USD,2019,Q3,2019-10-25,2019-10-25,9900000000.0,10080000000.0,43401000000.0,,18766000000.0,79054000000.0,67662000000.0,,52383000000.0,120045000000.0,199099000000,64755000000.0,,72136000000.0,22472000000.0,70455000000.0,142591000000.0,31822000000.0,-1837000000.0,27952000000.0,56508000000.0,199099000000
2019-12-31,62747,USD,2019,Q4,2020-01-31,2021-02-03,9940000000.0,10140000000.0,55021000000.0,20816000000.0,20497000000.0,96334000000.0,72705000000.0,,56209000000.0,128914000000.0,225248000000,79622000000.0,,87812000000.0,23414000000.0,75376000000.0,163188000000.0,33663000000.0,-1837000000.0,31220000000.0,62060000000.0,225248000000
2020-03-31,62747,USD,2020,Q1,2020-05-01,2020-05-01,9960000000.0,10120000000.0,49292000000.0,,18857000000.0,85985000000.0,77779000000.0,,57474000000.0,135253000000.0,221238000000,70847000000.0,,79711000000.0,23437000000.0,76255000000.0,155966000000.0,35417000000.0,-1837000000.0,33755000000.0,65272000000.0,221238000000
2020-06-30,62747,USD,2020,Q2,2020-07-31,2020-07-31,10000000000.0,10180000000.0,71391000000.0,,19599000000.0,110908000000.0,86517000000.0,,60889000000.0,147406000000.0,258314000000,84899000000.0,,93896000000.0,33128000000.0,90690000000.0,184586000000.0,38022000000.0,-1837000000.0,38998000000.0,73728000000.0,258314000000
2020-09-30,62747,USD,2020,Q3,2020-10-30,2020-10-30,10020000000.0,10240000000.0,68402000000.0,20832000000.0,23735000000.0,112969000000.0,99981000000.0,,69229000000.0,169210000000.0,282179000000,92661000000.0,,101912000000.0,32929000000.0,97492000000.0,199404000000.0,40312000000.0,-1837000000.0,45329000000.0,82775000000.0,282179000000
2020-12-31,62747,USD,2020,Q4,2021-02-03,2022-02-04,10020000000.0,10260000000.0,84396000000.0,24542000000.0,23795000000.0,132733000000.0,113114000000.0,,75348000000.0,188462000000.0,321195000000,116677000000.0,,126385000000.0,31816000000.0,101406000000.0,227791000000.0,42870000000.0,-1837000000.0,52551000000.0,93404000000.0,321195000000
2021-03-31,62747,USD,2021,Q1,2021-04-30,2021-04-30,10080000000.0,10260000000.0,73270000000.0,24289000000.0,23849000000.0,121408000000.0,121461000000.0,,80208000000.0,201669000000.0,323077000000,104865000000.0,,115404000000.0,31868000000.0,104353000000.0,219757000000.0,45165000000.0,-1837000000.0,60658000000.0,103320000000.0,323077000000
2021-06-30,62747,USD,2021,Q2,2021-07-30,2021-07-30,10080000000.0,10280000000.0,89894000000.0,26835000000.0,24119000000.0,140848000000.0,133502000000.0,,85969000000.0,219471000000.0,360319000000,107097000000.0,,117792000000.0,50279000000.0,127724000000.0,245516000000.0,48729000000.0,-1837000000.0,68436000000.0,114803000000.0,360319000000
2021-09-30,62747,USD,2021,Q3,2021-10-29,2021-10-29,10140000000.0,10300000000.0,78988000000.0,28610000000.0,30933000000.0,138531000000.0,147152000000.0,,96723000000.0,243875000000.0,382406000000,113020000000.0,,123994000000.0,50055000000.0,137848000000.0,261842000000.0,51884000000.0,-1837000000.0,71592000000.0,120564000000.0,382406000000
