Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2019-06-30,62747,USD,2019,Q2,2019-07-26,2020-07-31,9860000000.0,10060000000.0,2625000000.0,5202000000.0,2149000000.0,-859000000.0,-2193000000.0,-2100000000.0,3668000000.0,-234000000.0,9117000000.0,-2643000000.0,-4790000000.0,-116000000.0,-7549000000.0,,-2158000000.0,,-2158000000.0,-542000000
2019-09-30,62747,USD,2019,Q3,2019-10-25,2019-10-25,9900000000.0,10080000000.0,2134000000.0,5563000000.0,2306000000.0,-2111000000.0,-1181000000.0,-381000000.0,226000000.0,-775000000.0,7892000000.0,-3385000000.0,-1291000000.0,-398000000.0,-5074000000.0,,-1960000000.0,,-1960000000.0,589000000
2019-12-31,62747,USD,2019,Q4,2020-01-31,2022-02-04,9940000000.0,10140000000.0,3268000000.0,6170000000.0,1579000000.0,8642000000.0,-3905000000.0,-1516000000.0,10683000000.0,3380000000.0,19659000000.0,-3940000000.0,1181000000.0,-777000000.0,-3536000000.0,,-3571000000.0,,-3571000000.0,12856000000
2020-03-31,62747,USD,2020,Q1,2020-05-01,2021-04-30,9960000000.0,10120000000.0,2535000000.0,5362000000.0,2711000000.0,-7544000000.0,1262000000.0,1392000000.0,-8044000000.0,-2154000000.0,3064000000.0,-5428000000.0,-3375000000.0,-91000000.0,-8894000000.0,,-2591000000.0,,-2591000000.0,-8905000000
2020-06-30,62747,USD,2020,Q2,2020-07-30,2021-07-30,10000000000.0,10180000000.0,5243000000.0,5748000000.0,2579000000.0,7036000000.0,-2854000000.0,-672000000.0,8616000000.0,1946000000.0,20606000000.0,-6615000000.0,-11071000000.0,-118000000.0,-17804000000.0,,7408000000.0,,7408000000.0,10337000000
2020-09-30,62747,USD,2020,Q3,2020-10-30,2021-10-29,10020000000.0,10240000000.0,6331000000.0,6523000000.0,1599000000.0,-2489000000.0,-2016000000.0,-3899000000.0,3658000000.0,-232000000.0,11964000000.0,-9808000000.0,-4333000000.0,-1735000000.0,-15876000000.0,,-4105000000.0,,-4105000000.0,-7640000000
2020-12-31,62747,USD,2020,Q4,2021-02-03,2021-10-29,10020000000.0,10260000000.0,7222000000.0,7547000000.0,-817000000.0,16479000000.0,,,,,30431000000.0,-18290000000.0,-3463000000.0,-380000000.0,-17037000000.0,,-1816000000.0,,-1816000000.0,12175000000
2021-03-31,62747,USD,2021,Q1,2021-04-30,2022-04-29,10080000000.0,10260000000.0,8107000000.0,7508000000.0,2583000000.0,-13985000000.0,-2255000000.0,-304000000.0,-8266000000.0,-3160000000.0,4213000000.0,-11187000000.0,3151000000.0,-630000000.0,-8666000000.0,,-3476000000.0,,-3476000000.0,-8222000000
2021-06-30,62747,USD,2021,Q2,2021-07-30,2022-07-29,10080000000.0,10280000000.0,7778000000.0,8038000000.0,3052000000.0,-6153000000.0,-4462000000.0,-209000000.0,47000000.0,-1529000000.0,12715000000.0,-12988000000.0,-8772000000.0,-320000000.0,-22080000000.0,,15643000000.0,,15643000000.0,6512000000
2021-09-30,62747,USD,2021,Q3,2021-10-29,2022-10-28,10140000000.0,10300000000.0,3156000000.0,8948000000.0,4453000000.0,-9244000000.0,,,,,7313000000.0,-15748000000.0,577000000.0,-654000000.0,-14828000000.0,,-2776000000.0,,-2776000000.0,-10490000000
2021-12-31,62747,USD,2021,Q4,2022-02-04,2022-10-28,10100000000.0,9560000000.0,14323000000.0,9939000000.0,-11947000000.0,9771000000.0,,,,,22086000000.0,-13278000000.0,4271000000.0,-381000000.0,-12580000000.0,,-3100000000.0,,-3100000000.0,6300000000
2022-03-31,62747,USD,2022,Q1,2022-04-29,2023-04-28,10180000000.0,10180000000.0,-3844000000.0,9193000000.0,9938000000.0,-18077000000.0,,,,,-2790000000.0,-14951000000.0,20989000000.0,-6341000000.0,906000000.0,,4656000000.0,-2666000000.0,1990000000.0,122000000
2022-06-30,62747,USD,2022,Q2,2022-07-29,2023-08-04,10175000000.0,10175000000.0,-2028000000.0,9716000000.0,9358000000.0,-8081000000.0,,,,,8965000000.0,-15724000000.0,2279000000.0,-259000000.0,-12078000000.0,,7960000000.0,-3334000000.0,4626000000.0,1101000000
2022-09-30,62747,USD,2022,Q3,2022-10-28,2023-10-27,10191000000.0,10331000000.0,2872000000.0,10327000000.0,3459000000.0,-5254000000.0,,,,,11404000000.0,-16378000000.0,318000000.0,-885000000.0,-15608000000.0,,3016000000.0,,3016000000.0,-2522000000
2022-12-31,62747,USD,2022,Q4,2023-01-28,2023-10-27,10210000000.0,10070000000.0,278000000.0,12685000000.0,5684000000.0,10526000000.0,,,,,29173000000.0,-11268000000.0,5450000000.0,7485000000.0,-10821000000.0,,86000000.0,0.0,86000000.0,19075000000
