Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2019-06-30,62747,USD,2019,Q2,2019-07-26,2020-07-31,9860000000.0,10060000000.0,63404000000.0,-36337000000.0,27067000000.0,-23983000000.0,-5561000000.0,,,3084000000.0,-195000000.0,-168000000.0,2889000000.0,,2889000000,-257000000.0,2625000000,,2625000000,2625000000
2019-09-30,62747,USD,2019,Q3,2019-10-25,2020-10-30,9900000000.0,10080000000.0,69981000000.0,-41302000000.0,28679000000.0,-25522000000.0,-6100000000.0,,,3157000000.0,-525000000.0,-172000000.0,2632000000.0,,2632000000,-494000000.0,2134000000,,2134000000,2134000000
2019-12-31,62747,USD,2019,Q4,2020-01-31,2022-02-04,9940000000.0,10140000000.0,87436000000.0,-53977000000.0,33459000000.0,-29580000000.0,-7583000000.0,,,3879000000.0,174000000.0,-244000000.0,4053000000.0,,4053000000,-786000000.0,3268000000,,3268000000,3268000000
2020-03-31,62747,USD,2020,Q1,2020-05-01,2021-04-30,9960000000.0,10120000000.0,75452000000.0,-44257000000.0,31195000000.0,-27206000000.0,-6280000000.0,,,3989000000.0,-606000000.0,-200000000.0,3383000000.0,,3383000000,-744000000.0,2535000000,,2535000000,2535000000
2020-06-30,62747,USD,2020,Q2,2020-07-31,2021-07-30,10000000000.0,10180000000.0,88912000000.0,-52660000000.0,36252000000.0,-30409000000.0,-5925000000.0,,,5843000000.0,378000000.0,-268000000.0,6221000000.0,,6221000000,-984000000.0,5243000000,,5243000000,5243000000
2020-09-30,62747,USD,2020,Q3,2020-10-30,2021-10-29,10020000000.0,10240000000.0,96145000000.0,-57106000000.0,39039000000.0,-32845000000.0,-7102000000.0,,,6194000000.0,615000000.0,-310000000.0,6809000000.0,,6809000000,-569000000.0,6331000000,,6331000000,6331000000
2020-12-31,62747,USD,2020,Q4,2021-02-03,2021-10-29,10020000000.0,10260000000.0,125555000000.0,-79284000000.0,46271000000.0,-39398000000.0,-9371000000.0,,,6873000000.0,892000000.0,-314000000.0,7765000000.0,,7765000000,-565000000.0,7222000000,,7222000000,7222000000
2021-03-31,62747,USD,2021,Q1,2021-04-30,2022-04-29,10080000000.0,10260000000.0,108518000000.0,-62403000000.0,46115000000.0,-37250000000.0,-8194000000.0,,,8865000000.0,1403000000.0,-294000000.0,10268000000.0,,10268000000,-2156000000.0,8107000000,,8107000000,8107000000
2021-06-30,62747,USD,2021,Q2,2021-07-30,2022-07-29,10080000000.0,10280000000.0,113080000000.0,-64176000000.0,48904000000.0,-41202000000.0,-9682000000.0,,,7702000000.0,932000000.0,-329000000.0,8634000000.0,,8634000000,-868000000.0,7778000000,,7778000000,7778000000
2021-09-30,62747,USD,2021,Q3,2021-10-29,2022-10-28,10140000000.0,10300000000.0,110812000000.0,-62930000000.0,47882000000.0,-43030000000.0,-10163000000.0,,,4852000000.0,-537000000.0,-374000000.0,4315000000.0,,4315000000,-1155000000.0,3156000000,,3156000000,3156000000
