Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2019-06-30,18,USD,2019,Q2,2019-07-26,2019-07-26,13879380000.0,14929580000.0,121056000000.0,20965000000.0,964000000.0,147437000000.0,64891000000.0,12112000000.0,32661000000.0,109664000000.0,257101000000,35283000000.0,,37000000000.0,4074000000.0,27909000000.0,64909000000.0,47937000000.0,,145346000000.0,192192000000.0,257101000000
2019-09-30,18,USD,2019,Q3,2019-10-29,2019-10-29,13854820000.0,14894280000.0,121177000000.0,20889000000.0,1401000000.0,148358000000.0,69252000000.0,12488000000.0,32946000000.0,114686000000.0,263044000000,37545000000.0,,39224000000.0,4082000000.0,28851000000.0,68075000000.0,49040000000.0,,147125000000.0,194969000000.0,263044000000
2019-12-31,18,USD,2019,Q4,2020-02-04,2021-02-03,13776100000.0,14833560000.0,119675000000.0,25326000000.0,999000000.0,152578000000.0,73646000000.0,13078000000.0,36607000000.0,123331000000.0,275909000000,43313000000.0,,45221000000.0,4554000000.0,29246000000.0,74467000000.0,50552000000.0,,152122000000.0,201442000000.0,275909000000
2020-03-31,18,USD,2020,Q1,2020-04-29,2020-04-29,13729300000.0,14773820000.0,117229000000.0,21825000000.0,889000000.0,147018000000.0,76747000000.0,12367000000.0,37271000000.0,126385000000.0,273403000000,38251000000.0,,40189000000.0,5016000000.0,29555000000.0,69744000000.0,53688000000.0,,151068000000.0,203659000000.0,273403000000
2020-06-30,18,USD,2020,Q2,2020-07-31,2020-07-31,13635360000.0,14667580000.0,121080000000.0,21201000000.0,815000000.0,149069000000.0,78748000000.0,12961000000.0,37714000000.0,129423000000.0,278492000000,41597000000.0,,43658000000.0,4018000000.0,27512000000.0,71170000000.0,55937000000.0,,151681000000.0,207322000000.0,278492000000
2020-09-30,18,USD,2020,Q3,2020-10-30,2020-10-30,13588980000.0,14639180000.0,132596000000.0,24925000000.0,835000000.0,164369000000.0,81636000000.0,14656000000.0,38582000000.0,134874000000.0,299243000000,45898000000.0,,48200000000.0,13902000000.0,38123000000.0,86323000000.0,57307000000.0,,155567000000.0,212920000000.0,299243000000
2020-12-31,18,USD,2020,Q4,2021-02-03,2022-02-02,13511640000.0,14576220000.0,136694000000.0,30930000000.0,728000000.0,174296000000.0,84749000000.0,20703000000.0,39868000000.0,145320000000.0,319616000000,54291000000.0,,56834000000.0,13932000000.0,40238000000.0,97072000000.0,58510000000.0,,163401000000.0,222544000000.0,319616000000
2021-03-31,18,USD,2021,Q1,2021-04-28,2021-04-28,13464400000.0,14558220000.0,135104000000.0,28006000000.0,888000000.0,172137000000.0,87606000000.0,25294000000.0,42058000000.0,154958000000.0,327095000000,52763000000.0,,55453000000.0,13887000000.0,41629000000.0,97082000000.0,59436000000.0,,170580000000.0,230013000000.0,327095000000
2021-06-30,18,USD,2021,Q2,2021-07-28,2021-07-28,13379160000.0,14504700000.0,135863000000.0,31967000000.0,907000000.0,175697000000.0,91697000000.0,25532000000.0,42461000000.0,159690000000.0,335387000000,53026000000.0,,55741000000.0,14328000000.0,42081000000.0,97822000000.0,60436000000.0,,176939000000.0,237565000000.0,335387000000
2021-09-30,18,USD,2021,Q3,2021-10-27,2021-10-27,13315160000.0,14438460000.0,142003000000.0,34047000000.0,1278000000.0,184110000000.0,94631000000.0,26101000000.0,42561000000.0,163293000000.0,347403000000,58814000000.0,,61782000000.0,14288000000.0,41054000000.0,102836000000.0,61193000000.0,,183782000000.0,244567000000.0,347403000000
