Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2019-06-30,18,USD,2019,Q2,2019-07-26,2019-04-30,13879380000.0,14929580000.0,9947000000.0,2626000000.0,791000000.0,-737000000.0,-1146000000.0,,-18000000.0,427000000.0,12627000000.0,-6160000000.0,-4343000000.0,-148000000.0,-10455000000.0,,-46000000.0,-3577000000.0,-4746000000.0,-2561000000
2019-09-30,18,USD,2019,Q3,2019-10-29,2020-10-30,13854820000.0,14894280000.0,7068000000.0,2732000000.0,3981000000.0,1685000000.0,-1000000.0,,57000000.0,1629000000.0,15466000000.0,-6732000000.0,-2557000000.0,-126000000.0,-8945000000.0,,-145000000.0,-5696000000.0,-6954000000.0,-555000000
2019-12-31,18,USD,2019,Q4,2020-02-04,2020-10-30,13776100000.0,14833560000.0,10671000000.0,3082000000.0,1896000000.0,-1222000000.0,-4365000000.0,,814000000.0,2329000000.0,14427000000.0,-6052000000.0,3667000000.0,-2142000000.0,-4703000000.0,,-47000000.0,-6098000000.0,-7326000000.0,2466000000
2020-03-31,18,USD,2020,Q1,2020-04-29,2021-04-28,13729300000.0,14773820000.0,6836000000.0,2899000000.0,4674000000.0,-2958000000.0,2602000000.0,,-835000000.0,-4725000000.0,11451000000.0,-6005000000.0,3936000000.0,-190000000.0,-1847000000.0,,-49000000.0,-8496000000.0,-8186000000.0,1146000000
2020-06-30,18,USD,2020,Q2,2020-07-31,2021-04-28,13635360000.0,14667580000.0,6959000000.0,3178000000.0,1529000000.0,2327000000.0,-80000000.0,,146000000.0,2261000000.0,13993000000.0,-5391000000.0,-3011000000.0,-165000000.0,-8448000000.0,,-35000000.0,-6852000000.0,-7498000000.0,-1902000000
2020-09-30,18,USD,2020,Q3,2020-10-30,2021-07-28,13588980000.0,14639180000.0,11247000000.0,3289000000.0,1711000000.0,756000000.0,-3601000000.0,,420000000.0,3937000000.0,17003000000.0,-5406000000.0,-9372000000.0,-13000000.0,-15197000000.0,,9802000000.0,-7897000000.0,546000000.0,2387000000
2020-12-31,18,USD,2020,Q4,2021-02-03,2021-10-27,13511640000.0,14576220000.0,15227000000.0,3539000000.0,2209000000.0,1702000000.0,,,,,22677000000.0,-5479000000.0,-1375000000.0,-370000000.0,-7281000000.0,,-57000000.0,-7904000000.0,-9270000000.0,6336000000
2021-03-31,18,USD,2021,Q1,2021-04-28,2022-04-27,13464400000.0,14558220000.0,17930000000.0,2525000000.0,67000000.0,-1233000000.0,2794000000.0,,-982000000.0,-3045000000.0,19289000000.0,-5942000000.0,2195000000.0,-1666000000.0,-5383000000.0,,-37000000.0,-11395000000.0,-13606000000.0,157000000
2021-06-30,18,USD,2021,Q2,2021-07-28,2022-04-27,13379160000.0,14504700000.0,18525000000.0,2730000000.0,1506000000.0,-871000000.0,-3661000000.0,,-130000000.0,2920000000.0,21890000000.0,-5496000000.0,-3293000000.0,-308000000.0,-9074000000.0,,-1042000000.0,-12796000000.0,-15991000000.0,-2992000000
2021-09-30,18,USD,2021,Q3,2021-10-27,2022-07-27,13315160000.0,14438460000.0,18936000000.0,3085000000.0,712000000.0,2806000000.0,,,,,25539000000.0,-6819000000.0,-3360000000.0,-259000000.0,-10050000000.0,,-42000000.0,-12610000000.0,-15254000000.0,89000000
2021-12-31,18,USD,2021,Q4,2022-02-02,2022-10-26,13101920000.0,10620140000.0,20642000000.0,1933000000.0,4584000000.0,-2225000000.0,,,,,24934000000.0,-6383000000.0,-4348000000.0,-385000000.0,-11016000000.0,,-115000000.0,-13473000000.0,-16511000000.0,-2774000000
2022-03-31,18,USD,2022,Q1,2022-04-27,2023-04-26,13253260000.0,13449860000.0,16436000000.0,3591000000.0,4182000000.0,897000000.0,,,,,25106000000.0,-9786000000.0,553000000.0,-173000000.0,-9051000000.0,,2000000.0,-13300000000.0,-16214000000.0,-59000000
2022-06-30,18,USD,2022,Q2,2022-07-27,2023-04-26,13133000000.0,13239000000.0,16002000000.0,3698000000.0,3939000000.0,-4217000000.0,,,,,19422000000.0,-6828000000.0,3483000000.0,-1063000000.0,-4187000000.0,,-356000000.0,-15197000000.0,-17817000000.0,-2950000000
2022-09-30,18,USD,2022,Q3,2022-10-26,2023-07-26,13018000000.0,13097000000.0,13910000000.0,3933000000.0,4714000000.0,796000000.0,,,,,23353000000.0,-7276000000.0,11301000000.0,-5649000000.0,-833000000.0,,-674000000.0,-15392000000.0,-18097000000.0,4048000000
2022-12-31,18,USD,2022,Q4,2023-02-03,2023-10-25,14007715964.0,14428035600.0,13624000000.0,2253000000.0,7448000000.0,289000000.0,,,,,23614000000.0,-7595000000.0,1230000000.0,-84000000.0,-6227000000.0,0.0,-168000000.0,-15407000000.0,-17629000000.0,-105000000
2023-03-31,18,USD,2023,Q1,2023-04-26,2024-04-26,12781000000.0,12823000000.0,15051000000.0,2635000000.0,4450000000.0,1373000000.0,4454000000.0,,-1105000000.0,-1976000000.0,23509000000.0,-6289000000.0,3510000000.0,-42000000.0,-2946000000.0,,-25000000.0,-14557000000.0,-16568000000.0,4045000000
2023-06-30,18,USD,2023,Q2,2023-07-26,2024-04-26,12668000000.0,12764000000.0,18368000000.0,2824000000.0,4538000000.0,2936000000.0,-2948000000.0,,1119000000.0,4765000000.0,28666000000.0,-6888000000.0,-3382000000.0,-298000000.0,-10800000000.0,0.0,-132000000.0,-14969000000.0,-17835000000.0,5000000
2023-09-30,18,USD,2023,Q3,2023-10-25,2024-07-24,12581000000.0,12696000000.0,19689000000.0,3171000000.0,5679000000.0,2117000000.0,-2821000000.0,,223000000.0,4715000000.0,30656000000.0,-8055000000.0,1659000000.0,-126000000.0,-7150000000.0,0.0,-166000000.0,-15787000000.0,-18382000000.0,4773000000
2023-12-31,18,USD,2023,Q4,2024-01-31,2024-10-30,12581000000.0,12696000000.0,20687000000.0,3316000000.0,5183000000.0,-10271000000.0,-6518000000.0,,427000000.0,-4180000000.0,18915000000.0,-11019000000.0,4947000000.0,-29000000.0,-6167000000.0,0.0,-437000000.0,-16191000000.0,-19308000000.0,-6654000000
2024-03-31,18,USD,2024,Q1,2024-04-26,2025-04-25,12581000000.0,12696000000.0,23662000000.0,3413000000.0,4236000000.0,-2463000000.0,3167000000.0,,-2124000000.0,-3506000000.0,28848000000.0,-12012000000.0,3408000000.0,-61000000.0,-8564000000.0,0.0,-1097000000.0,-15696000000.0,-19714000000.0,445000000
