Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2019-06-30,18,USD,2019,Q2,2019-07-26,2019-07-26,13879380000.0,14929580000.0,38944000000.0,-17296000000.0,21648000000.0,-12468000000.0,-6255000000.0,-6213000000.0,,9180000000.0,2967000000.0,,12147000000.0,0.0,12147000000,-2200000000.0,9947000000,,9947000000,9947000000
2019-09-30,18,USD,2019,Q3,2019-10-29,2020-10-30,13854820000.0,14894280000.0,40499000000.0,-17568000000.0,22931000000.0,-13754000000.0,-7200000000.0,-6554000000.0,,9177000000.0,-549000000.0,,8628000000.0,0.0,8628000000,-1560000000.0,7068000000,,7068000000,7068000000
2019-12-31,18,USD,2019,Q4,2020-02-04,2020-10-30,13776100000.0,14833560000.0,46075000000.0,-21020000000.0,25055000000.0,-15789000000.0,-8567000000.0,-7222000000.0,,9266000000.0,1438000000.0,,10704000000.0,0.0,10704000000,-33000000.0,10671000000,,10671000000,10671000000
2020-03-31,18,USD,2020,Q1,2020-04-29,2021-04-28,13729300000.0,14773820000.0,41159000000.0,-18982000000.0,22177000000.0,-14200000000.0,-7380000000.0,-6820000000.0,,7977000000.0,-220000000.0,,7757000000.0,,7757000000,-921000000.0,6836000000,,6836000000,6836000000
2020-06-30,18,USD,2020,Q2,2020-07-31,2021-07-28,13635360000.0,14667580000.0,38297000000.0,-18553000000.0,19744000000.0,-13361000000.0,-6486000000.0,-6875000000.0,,6383000000.0,1894000000.0,,8277000000.0,,8277000000,-1318000000.0,6959000000,,6959000000,6959000000
2020-09-30,18,USD,2020,Q3,2020-10-30,2021-10-27,13588980000.0,14639180000.0,46173000000.0,-21117000000.0,25056000000.0,-13843000000.0,-6987000000.0,-6856000000.0,,11213000000.0,2146000000.0,,13359000000.0,,13359000000,-2112000000.0,11247000000,,11247000000,11247000000
2020-12-31,18,USD,2020,Q4,2021-02-03,2021-10-27,13511640000.0,14576220000.0,56898000000.0,-26080000000.0,30818000000.0,-15167000000.0,-8145000000.0,-7022000000.0,,15651000000.0,3038000000.0,,18689000000.0,,18689000000,-3462000000.0,15227000000,,15227000000,15227000000
2021-03-31,18,USD,2021,Q1,2021-04-28,2022-04-27,13464400000.0,14558220000.0,55314000000.0,-24103000000.0,31211000000.0,-14774000000.0,-7289000000.0,-7485000000.0,,16437000000.0,4846000000.0,,21283000000.0,,21283000000,-3353000000.0,17930000000,,17930000000,17930000000
2021-06-30,18,USD,2021,Q2,2021-07-28,2022-07-27,13379160000.0,14504700000.0,61880000000.0,-26227000000.0,35653000000.0,-16292000000.0,-8617000000.0,-7675000000.0,,19361000000.0,2624000000.0,,21985000000.0,,21985000000,-3460000000.0,18525000000,,18525000000,18525000000
2021-09-30,18,USD,2021,Q3,2021-10-27,2022-10-26,13315160000.0,14438460000.0,65118000000.0,-27621000000.0,37497000000.0,-16466000000.0,-8772000000.0,-7694000000.0,,21031000000.0,2033000000.0,,23064000000.0,,23064000000,-4128000000.0,18936000000,,18936000000,18936000000
2021-12-31,18,USD,2021,Q4,2022-02-02,2022-10-26,13101920000.0,10620140000.0,75325000000.0,-32988000000.0,42337000000.0,-20452000000.0,-11744000000.0,-8708000000.0,,21885000000.0,2517000000.0,,24402000000.0,,24402000000,-3760000000.0,20642000000,,20642000000,20642000000
2022-03-31,18,USD,2022,Q1,2022-04-27,2023-04-26,13253260000.0,13449860000.0,68011000000.0,-29599000000.0,38412000000.0,-18318000000.0,-9199000000.0,-9119000000.0,,20094000000.0,-1160000000.0,,18934000000.0,,18934000000,-2498000000.0,16436000000,,16436000000,16436000000
2022-06-30,18,USD,2022,Q2,2022-07-27,2023-07-26,13133000000.0,13239000000.0,69685000000.0,-30104000000.0,39581000000.0,-20128000000.0,-10287000000.0,-9841000000.0,,19453000000.0,-439000000.0,,19014000000.0,,19014000000,-3012000000.0,16002000000,,16002000000,16002000000
2022-09-30,18,USD,2022,Q3,2022-10-26,2023-10-25,13018000000.0,13097000000.0,69092000000.0,-31158000000.0,37934000000.0,-20799000000.0,-10526000000.0,-10273000000.0,,17135000000.0,-902000000.0,,16233000000.0,,16233000000,-2323000000.0,13910000000,,13910000000,13910000000
2022-12-31,18,USD,2022,Q4,2023-02-03,2023-10-25,14007715964.0,14428035600.0,76048000000.0,-35342000000.0,40706000000.0,-22546000000.0,-12279000000.0,-10267000000.0,,18160000000.0,-1013000000.0,,17147000000.0,,17147000000,-3523000000.0,13624000000,,13624000000,13624000000
2023-03-31,18,USD,2023,Q1,2023-04-26,2024-04-26,12781000000.0,12823000000.0,69787000000.0,-30612000000.0,39175000000.0,-21760000000.0,-10292000000.0,-11468000000.0,,17415000000.0,790000000.0,,18205000000.0,,18205000000,-3154000000.0,15051000000,,15051000000,15051000000
